Symbol,Security Name,Exchange,ETF
BRK.B,Berkshire Hathaway Inc. Class B,NYSE,N
JPM,JPMorgan Chase & Co.,NYSE,N
KO,The Coca-Cola Company,NYSE,N
IBM,International Business Machines,NYSE,N
